anime_key,anime_id,anime_title,status,rating,airing,aired_from,aired_to,is_current,current_as_of,expired
1000,1,Cowboy Bebop,Finished Airing,R - 17+ (violence & profanity),False,1998-04-03,1999-04-24,True,2022-03-11,
1001,5,Cowboy Bebop: Tengoku no Tobira,Finished Airing,R - 17+ (violence & profanity),False,2001-09-01,,True,2022-03-11,
1002,6,Trigun,Finished Airing,PG-13 - Teens 13 or older,False,1998-04-01,1998-09-30,True,2022-03-11,
1003,7,Witch Hunter Robin,Finished Airing,PG-13 - Teens 13 or older,False,2002-07-02,2002-12-24,True,2022-03-11,
1004,8,Bouken Ou Beet,Finished Airing,PG - Children,False,2004-09-30,2005-09-29,True,2022-03-11,
1005,15,Eyeshield 21,Finished Airing,PG-13 - Teens 13 or older,False,2005-04-06,2008-03-19,True,2022-03-11,
1006,16,Hachimitsu to Clover,Finished Airing,PG-13 - Teens 13 or older,False,2005-04-15,2005-09-27,True,2022-03-11,
1007,17,Hungry Heart: Wild Striker,Finished Airing,PG-13 - Teens 13 or older,False,2002-09-11,2003-09-10,True,2022-03-11,
1008,18,Initial D Fourth Stage,Finished Airing,PG-13 - Teens 13 or older,False,2004-04-17,2006-02-18,True,2022-03-11,
1009,19,Monster,Finished Airing,R+ - Mild Nudity,False,2004-04-07,2005-09-28,True,2022-03-11,
1010,20,Naruto,Finished Airing,PG-13 - Teens 13 or older,False,2002-10-03,2007-02-08,True,2022-03-11,
1011,21,One Piece,Currently Airing,PG-13 - Teens 13 or older,True,1999-10-20,,True,2022-03-11,
1012,22,Tennis no Ouji-sama,Finished Airing,PG-13 - Teens 13 or older,False,2001-10-10,2005-03-23,True,2022-03-11,
1013,23,Ring ni Kakero 1,Finished Airing,PG - Children,False,2004-10-06,2004-12-15,True,2022-03-11,
1014,24,School Rumble,Finished Airing,PG-13 - Teens 13 or older,False,2004-10-05,2005-03-29,True,2022-03-11,
1015,25,Sunabouzu,Finished Airing,R - 17+ (violence & profanity),False,2004-10-06,2005-03-30,True,2022-03-11,
1016,26,Texhnolyze,Finished Airing,R+ - Mild Nudity,False,2003-04-17,2003-09-25,True,2022-03-11,
1017,27,Trinity Blood,Finished Airing,R - 17+ (violence & profanity),False,2005-04-29,2005-10-28,True,2022-03-11,
1018,28,Yakitate!! Japan,Finished Airing,PG-13 - Teens 13 or older,False,2004-10-12,2006-03-14,True,2022-03-11,
1019,29,Zipang,Finished Airing,PG-13 - Teens 13 or older,False,2004-10-08,2005-04-01,True,2022-03-11,
1020,30,Neon Genesis Evangelion,Finished Airing,PG-13 - Teens 13 or older,False,1995-10-04,1996-03-27,True,2022-03-11,
1021,31,Neon Genesis Evangelion: Death & Rebirth,Finished Airing,R - 17+ (violence & profanity),False,1997-03-15,,True,2022-03-11,
1022,32,Neon Genesis Evangelion: The End of Evangelion,Finished Airing,R+ - Mild Nudity,False,1997-07-19,,True,2022-03-11,
1023,33,Kenpuu Denki Berserk,Finished Airing,R+ - Mild Nudity,False,1997-10-08,1998-04-01,True,2022-03-11,
1024,43,Koukaku Kidoutai,Finished Airing,R+ - Mild Nudity,False,1995-11-18,,True,2022-03-11,
1025,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Finished Airing,R - 17+ (violence & profanity),False,1999-02-20,1999-09-22,True,2022-03-11,
1026,45,Rurouni Kenshin: Meiji Kenkaku Romantan,Finished Airing,PG-13 - Teens 13 or older,False,1996-01-10,1998-09-08,True,2022-03-11,
1027,46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Finished Airing,R - 17+ (violence & profanity),False,1997-12-20,,True,2022-03-11,
1028,47,Akira,Finished Airing,R+ - Mild Nudity,False,1988-07-16,,True,2022-03-11,
1029,48,.hack//Sign,Finished Airing,PG-13 - Teens 13 or older,False,2002-04-04,2002-09-26,True,2022-03-11,
1030,49,Aa! Megami-sama!,Finished Airing,PG-13 - Teens 13 or older,False,1993-02-21,1994-05-17,True,2022-03-11,
1031,50,Aa! Megami-sama! (TV),Finished Airing,PG-13 - Teens 13 or older,False,2005-01-07,2005-07-08,True,2022-03-11,
1032,51,Tenshi Kinryouku,Finished Airing,R+ - Mild Nudity,False,2000-05-25,2000-08-25,True,2022-03-11,
1033,52,Kidou Tenshi Angelic Layer,Finished Airing,PG-13 - Teens 13 or older,False,2001-04-01,2001-09-23,True,2022-03-11,
1034,53,Ai Yori Aoshi,Finished Airing,PG-13 - Teens 13 or older,False,2002-04-11,2002-09-26,True,2022-03-11,
1035,54,Appleseed (Movie),Finished Airing,R - 17+ (violence & profanity),False,2004-04-17,,True,2022-03-11,
1036,55,Arc the Lad,Finished Airing,R - 17+ (violence & profanity),False,1999-04-05,1999-09-11,True,2022-03-11,
1037,56,Avenger,Finished Airing,R - 17+ (violence & profanity),False,2003-10-02,2003-12-25,True,2022-03-11,
1038,57,Beck,Finished Airing,R - 17+ (violence & profanity),False,2004-10-07,2005-03-31,True,2022-03-11,
1039,58,Blue Gender,Finished Airing,R+ - Mild Nudity,False,1999-10-08,2000-03-31,True,2022-03-11,
1040,59,Chobits,Finished Airing,PG-13 - Teens 13 or older,False,2002-04-03,2002-09-25,True,2022-03-11,
1041,60,Chrno Crusade,Finished Airing,R - 17+ (violence & profanity),False,2003-11-25,2004-06-10,True,2022-03-11,
1042,61,D.N.Angel,Finished Airing,PG-13 - Teens 13 or older,False,2003-04-03,2003-09-25,True,2022-03-11,
1043,62,D.C.: Da Capo,Finished Airing,PG-13 - Teens 13 or older,False,2003-07-05,2003-12-27,True,2022-03-11,
1044,63,DearS,Finished Airing,R+ - Mild Nudity,False,2004-07-11,2004-09-26,True,2022-03-11,
1045,64,Rozen Maiden,Finished Airing,PG-13 - Teens 13 or older,False,2004-10-08,2004-12-24,True,2022-03-11,
1046,65,Rozen Maiden: Träumend,Finished Airing,PG-13 - Teens 13 or older,False,2005-10-21,2006-01-27,True,2022-03-11,
1047,66,Azumanga Daioh,Finished Airing,PG-13 - Teens 13 or older,False,2002-04-09,2002-10-01,True,2022-03-11,
1048,67,Basilisk: Kouga Ninpou Chou,Finished Airing,R - 17+ (violence & profanity),False,2005-04-13,2005-09-21,True,2022-03-11,
1049,68,Black Cat (TV),Finished Airing,PG-13 - Teens 13 or older,False,2005-10-07,2006-03-31,True,2022-03-11,
1050,69,Cluster Edge,Finished Airing,PG-13 - Teens 13 or older,False,2005-10-05,2006-03-29,True,2022-03-11,
