planet_key,planet_name,planet_status,discovered,publication,detection_type,mass_detection_type,radius_detection_type,molecules,alternate_names,row_current,current_as_of,row_expired_date
2,11 Com b,Confirmed,2008.0,Published in a refereed paper,Radial Velocity,Radial Velocity,,,None,True,2022-05-01,
3,11 Oph b,Confirmed,2007.0,Published in a refereed paper,Imaging,,,,Oph 1622-2405 b,True,2022-05-01,
4,11 UMi b,Confirmed,2009.0,Published in a refereed paper,Radial Velocity,Radial Velocity,,,None,True,2022-05-01,
5,11 Uma b,Candidate,2008.0,Published in a refereed paper,Default,,,,None,True,2022-05-01,
6,14 And b,Confirmed,2008.0,Published in a refereed paper,Radial Velocity,Radial Velocity,,,None,True,2022-05-01,
7,14 Her b,Confirmed,2002.0,Published in a refereed paper,Radial Velocity,Astrometry,,,None,True,2022-05-01,
8,14 Her c,Confirmed,2006.0,Submitted to a professional journal,Radial Velocity,Astrometry,,,HD 145675 c,True,2022-05-01,
9,16 Cyg B b,Confirmed,1996.0,Published in a refereed paper,Radial Velocity,Radial Velocity,,,None,True,2022-05-01,
10,17 Sco b,Confirmed,2020.0,Published in a refereed paper,Radial Velocity,Radial Velocity,,,None,True,2022-05-01,
11,18 Del b,Confirmed,2008.0,Published in a refereed paper,Radial Velocity,Radial Velocity,,,None,True,2022-05-01,
12,19b1-02162 b,Candidate,2013.0,Published in a refereed paper,Default,,,,None,True,2022-05-01,
13,1I/'Oumuamua,Confirmed,2017.0,Published in a refereed paper,Imaging,,Theoretical,,"1I/2017_U1, 'Oumuamua",True,2022-05-01,
14,1RXS 1609 b,Confirmed,2008.0,Published in a refereed paper,Imaging,,,"CO, H2O, K","1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609",True,2022-05-01,
15,1RXS J235133.3+312720 b,Confirmed,2012.0,Published in a refereed paper,Imaging,,,,None,True,2022-05-01,
16,1SWASP J1407 b,Confirmed,2012.0,Published in a refereed paper,Primary Transit,Radial Velocity,,,None,True,2022-05-01,
17,1SWASPJ115718.66+261906.1 b,Candidate,2007.0,Published in a refereed paper,Default,,,,None,True,2022-05-01,
18,1SWASPJ130322.00+350525.4 b,Candidate,2007.0,Published in a refereed paper,Default,,,,None,True,2022-05-01,
19,1SWASPJ152131.01+213521.3 b,Candidate,2007.0,Published in a refereed paper,Default,,,,None,True,2022-05-01,
20,1SWASPJ160242.43+290850.1 b,Candidate,2007.0,Published in a refereed paper,Default,,,,None,True,2022-05-01,
21,1SWASPJ161732.90+242119.0 b,Candidate,2007.0,Published in a refereed paper,Default,,,,None,True,2022-05-01,
23,21 Her (AB) b,Candidate,2002.0,Published in a refereed paper,Radial Velocity,Radial Velocity,,,"o Her b, HD 147869 b, 21 Her b",True,2022-05-01,
24,24 Boo b,Confirmed,2018.0,Published in a refereed paper,Radial Velocity,Radial Velocity,,,None,True,2022-05-01,
25,24 Sex b,Confirmed,2010.0,Published in a refereed paper,Radial Velocity,Radial Velocity,,,None,True,2022-05-01,
26,24 Sex c,Confirmed,2010.0,Published in a refereed paper,Radial Velocity,Radial Velocity,,,None,True,2022-05-01,
27,2I/Borisov,Confirmed,2019.0,Announced on a website,Imaging,,,"C2, CN, CO, H2O, NH2, O I, OH",C/2019 Q4 (Borisov),True,2022-05-01,
28,2M 0103-55 (AB) b,Confirmed,2013.0,Published in a refereed paper,Imaging,,,H,None,True,2022-05-01,
29,2M 0219-39 b,Confirmed,2015.0,Published in a refereed paper,Imaging,Spectrum,Theoretical,,None,True,2022-05-01,
30,2M 0441+23 b,Confirmed,2010.0,Published in a refereed paper,Imaging,,,,None,True,2022-05-01,
31,2M 1252+2735 b,Confirmed,2021.0,Published in a refereed paper,Radial Velocity,Radial Velocity,,,None,True,2022-05-01,
32,2M 1252+2735 c,Candidate,2021.0,Published in a refereed paper,Radial Velocity,Radial Velocity,,,None,True,2022-05-01,
33,2M 1253+2734 b,Confirmed,2021.0,Published in a refereed paper,Radial Velocity,Radial Velocity,,,None,True,2022-05-01,
34,2M 1258+2630 b,Confirmed,2021.0,Published in a refereed paper,Radial Velocity,Radial Velocity,,,None,True,2022-05-01,
35,2M 1759-2739 b,Candidate,2019.0,Published in a refereed paper,Primary Transit,,Primary Transit,,2MASS J17595014-2739369 b,True,2022-05-01,
36,2M 2140+16 b,Confirmed,2010.0,Published in a refereed paper,Imaging,,,,None,True,2022-05-01,
37,2M 2206-20 b,Confirmed,2010.0,Published in a refereed paper,Imaging,,,,None,True,2022-05-01,
38,2M 2236+4751 b,Confirmed,2016.0,Published in a refereed paper,Imaging,Spectrum,,"CO, H2O",None,True,2022-05-01,
39,2M J2126-81 b,Confirmed,2016.0,Published in a refereed paper,Imaging,Spectrum,,,None,True,2022-05-01,
40,2M0045+16,Confirmed,2019.0,Submitted to a professional journal,Imaging,Spectrum,,,None,True,2022-05-01,
41,2M0117-34,Confirmed,2019.0,Submitted to a professional journal,Imaging,Spectrum,,,None,True,2022-05-01,
42,2M0326+29 b,Candidate,2014.0,Announced on a professional conference,Astrometry,Astrometry,,,2M0326+29B,True,2022-05-01,
43,2M0355,Confirmed,2008.0,Published in a refereed paper,Imaging,Spectrum,Flux,CO,"2MASS J03552337+1133437, 2MASS J0355+1133",True,2022-05-01,
44,2M0437 b,Confirmed,2021.0,Published in a refereed paper,Imaging,Spectrum,,,None,True,2022-05-01,
45,2M0444,Confirmed,2013.0,Published in a refereed paper,Imaging,Spectrum,,,"2MASS J04442713+2512164, IRAS S04414+2506",True,2022-05-01,
46,2M0838+15 b,Confirmed,2013.0,Published in a refereed paper,Imaging,Spectrum,,,None,True,2022-05-01,
47,2M0838+15 c,Confirmed,2013.0,Published in a refereed paper,Imaging,Spectrum,,,None,True,2022-05-01,
48,2M1059-21 b,Confirmed,2020.0,Published in a refereed paper,Astrometry,Astrometry,,,None,True,2022-05-01,
49,2M1207 A,Confirmed,2004.0,Published in a refereed paper,Imaging,,,,"2M1207, 2MASS J12073346-3932539",True,2022-05-01,
50,2M1207 b,Confirmed,2004.0,Published in a refereed paper,Imaging,,,,"2MASS J12073346-3932539 b, 2M 1207 b, 2M1207 b, 2M1207B, 2MASS1207-3932 B, 2MASSW J1207334-393254 b, 2M 1207-39 b",True,2022-05-01,
51,2M1510A a,Confirmed,2020.0,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,2MASSW  J1510478-281817 a,True,2022-05-01,
52,2M1510A b,Confirmed,2020.0,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,None,True,2022-05-01,
53,2MASS 0359+2009 b,Confirmed,2019.0,Published in a refereed paper,Imaging,Spectrum,Theoretical,,None,True,2022-05-01,
54,2MASS J0001+1535,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,2MASS J00011217+1535355,True,2022-05-01,
55,2MASS J0030-1450,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,2MASS J0030300-145033,True,2022-05-01,
223,CoRoT-26 b,Confirmed,2012.0,Published in a refereed paper,Primary Transit,,,,None,True,2022-05-01,
56,2MASS J0031+5749,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,2MASS J00310928+5749364,True,2022-05-01,
57,2MASS J00413538-5621127 A,Confirmed,2009.0,Published in a refereed paper,Imaging,,,,None,True,2022-05-01,
58,2MASS J00413538-5621127 B,Confirmed,2010.0,Published in a refereed paper,Imaging,,,,None,True,2022-05-01,
59,2MASS J01225093-2439505 b,Confirmed,2013.0,Published in a refereed paper,Imaging,,,,"WISE J012251.02-243952.0 b, 2M 0122-24 b",True,2022-05-01,
60,2MASS J0153-6744,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,2MASS J01531463-6744181,True,2022-05-01,
61,2MASS J0249-0557 (AB) c,Confirmed,2018.0,Published in a refereed paper,Astrometry,Astrometry,,,None,True,2022-05-01,
62,2MASS J0249-0557A,Confirmed,2018.0,Published in a refereed paper,Astrometry,Astrometry,,,None,True,2022-05-01,
63,2MASS J0249-0557B,Confirmed,2018.0,Published in a refereed paper,Astrometry,Astrometry,,,None,True,2022-05-01,
64,2MASS J0326-2102,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,2MASS J03264225-2102057,True,2022-05-01,
65,2MASS J0342-6817,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,2MASSI J0342162-681732,True,2022-05-01,
66,2MASS J0348-6022,Confirmed,2021.0,Published in a refereed paper,Imaging,Theoretical,Theoretical,,2MASS J03480772-6022270,True,2022-05-01,
67,2MASS J0407+1546,Confirmed,2021.0,Published in a refereed paper,Imaging,Theoretical,Theoretical,,None,True,2022-05-01,
68,2MASS J0447-1216,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,2MASS J04473039-1216155,True,2022-05-01,
69,2MASS J0459-2853,Confirmed,,Published in a refereed paper,Imaging,Spectrum,Flux,,2MASS J04590034-2853396,True,2022-05-01,
70,2MASS J0506+5236,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,2MASS J05065012+5236338,True,2022-05-01,
71,2MASS J06023447-0034369 b,Confirmed,2021.0,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,,None,True,2022-05-01,
72,2MASS J0642+4101,Confirmed,2022.0,Published in a refereed paper,Imaging,,,,None,True,2022-05-01,
73,2MASS J0718-6415,Confirmed,2022.0,Published in a refereed paper,Imaging,,,,None,True,2022-05-01,
74,2MASS J0809+4434,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,None,True,2022-05-01,
75,2MASS J0951-8023,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,2MASS J09512690-8023553,True,2022-05-01,
76,2MASS J10475385+2124234,Confirmed,1999.0,Published in a refereed paper,Imaging,Theoretical,,,2MASS J1047+21,True,2022-05-01,
77,2MASS J11011926-7732383 A,Confirmed,2004.0,Published in a refereed paper,Imaging,,,,None,True,2022-05-01,
78,2MASS J11011926-7732383 B,Confirmed,2004.0,Published in a refereed paper,Imaging,,,,None,True,2022-05-01,
79,2MASS J1119-1137  bI,Candidate,2021.0,Published in a refereed paper,Primary Transit,,,,None,True,2022-05-01,
80,2MASS J1119-1137 b,Confirmed,2017.0,Published in a refereed paper,Imaging,,,,None,True,2022-05-01,
81,2MASS J1155-7919 b,Confirmed,2020.0,Published in a refereed paper,Imaging,Spectrum,,,None,True,2022-05-01,
82,2MASS J1219+3128,Confirmed,2021.0,Published in a refereed paper,Imaging,Theoretical,Theoretical,,None,True,2022-05-01,
83,2MASS J1450-7841 A,Confirmed,2017.0,Published in a refereed paper,Imaging,Spectrum,,,None,True,2022-05-01,
84,2MASS J1450-7841 B,Confirmed,2017.0,Published in a refereed paper,Imaging,Spectrum,,,None,True,2022-05-01,
85,2MASS J15344984-2952274 A,Confirmed,2008.0,Published in a refereed paper,Astrometry,Astrometry,,,None,True,2022-05-01,
86,2MASS J15344984-2952274 B,Confirmed,2008.0,Published in a refereed paper,Astrometry,Astrometry,,,None,True,2022-05-01,
87,2MASS J1551+0941,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,2MASS J15515237+0941148,True,2022-05-01,
88,2MASS J155947+440359 b,Confirmed,2012.0,Published in a refereed paper,Imaging,Spectrum,,,None,True,2022-05-01,
89,2MASS J1647+5632,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,2MASS J16471580+5632057,True,2022-05-01,
90,2MASS J1741-4642,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,2MASS J17410280-4642218,True,2022-05-01,
91,2MASS J2002-0521,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,2MASS J20025073-0521524,True,2022-05-01,
92,2MASS J2117-2940,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,2MASS J21171431-2940034,True,2022-05-01,
93,2MASS J2154-1055,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,2MASS J21543454-1055308,True,2022-05-01,
94,2MASS J2206+3301,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,None,True,2022-05-01,
95,2MASS J2206-4217,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,"2MASSW J2206450-421721, 2MASS J2206450-421721",True,2022-05-01,
96,2MASS J2250+2325 b,Confirmed,2017.0,Published in a refereed paper,Imaging,Spectrum,,,None,True,2022-05-01,
97,2MASS J2322-6151,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,2MASS J23225299-6151275,True,2022-05-01,
98,2MASS J2343-3646,Confirmed,2022.0,Published in a refereed paper,Imaging,Spectrum,Flux,,2MASS J23433470-3646021,True,2022-05-01,
99,2MASSW J2208136+292121,Confirmed,2000.0,Published in a refereed paper,Imaging,,,,2M2208+2921,True,2022-05-01,
100,3 Cnc b,Confirmed,2020.0,Published in a refereed paper,Radial Velocity,Radial Velocity,,,None,True,2022-05-01,
101,30 Ari B b,Retracted,2009.0,Published in a refereed paper,Radial Velocity,,,,None,True,2022-05-01,
102,38 Vir b,Confirmed,2016.0,Published in a refereed paper,Primary Transit,Radial Velocity,,,HD 111998 b,True,2022-05-01,
103,4 Uma b,Confirmed,2007.0,Published in a refereed paper,Radial Velocity,,,,None,True,2022-05-01,
104,42 Dra b,Controversial,2009.0,Published in a refereed paper,Radial Velocity,,,,None,True,2022-05-01,
105,44 Uma b,Confirmed,2020.0,Published in a refereed paper,Radial Velocity,Radial Velocity,,,None,True,2022-05-01,
