star_key,star_name,star_detected_disc,star_age,star_metallicity,star_sp_type,star_teff,star_magnetic_field,star_alternate_names,row_current,current_as_of,row_expired_date
2,Kepler-820,,2.63,0.09,,6260.0,,"2MASS J19240483+3913144, KIC 4155328, KOI-1335",True,2022-05-01,
3,HD 133131 A,,9.7,-0.306,G2V,5799.0,,None,True,2022-05-01,
4,K2-318,,,,,3851.0,,"2MASS J15294714-1733261, EPIC 249826231, TIC 335322931, WISE J152947.09-173326.6",True,2022-05-01,
5,Kepler-536,,4.79,0.0,,5524.0,,"2MASS J19505673+4938137, KIC 11624249, KOI-356, WISE J195056.72+493813.5",True,2022-05-01,
6,2MASS J19435299+4331469,,,-0.38,,5774.0,,7835312,True,2022-05-01,
7,2MASS J19500609+4924052,,,0.07,,5427.0,,11520459,True,2022-05-01,
8,2MASS J20034289+4421237,,,,,5780.0,,8395860,True,2022-05-01,
9,Kepler-479,,4.27,-0.02,,5247.0,,"2MASS J19240524+3746112, KIC 2441495, KOI-166, WISE J192405.25+374611.4",True,2022-05-01,
10,KMT-2016-BLG-1107,,,,,,,None,True,2022-05-01,
11,2MASS J19150956+4543388,,,-0.56,,5126.0,,9274092,True,2022-05-01,
12,XTE J1751-305,,,,,,,None,True,2022-05-01,
13,Kepler-896,,5.01,-0.1,,5262.0,,"2MASS J18494540+4344041, KIC 7939330, KOI-1581, WISE J184945.39+434404.0",True,2022-05-01,
14,HD 39194,,,,K0V,,,None,True,2022-05-01,
15,Kepler-629,,1.91,0.01,,5444.0,,"2MASS J19174027+3956420, KIC 4827723, KOI-632, WISE J191740.29+395642.2",True,2022-05-01,
16,K2-127,,,-0.11,K3V,4575.0,,"EPIC 212554013, 2MASS J13481881-1135204, WISE J134818.79-113520.3",True,2022-05-01,
17,Kepler-1638,,4.37,-0.01,,5710.0,,"2MASS J19415577+4831280, KIC 11037818, KOI-5856, WISE J194155.75+483128.2",True,2022-05-01,
18,Kepler-1246,,3.89,-0.03,,4611.0,,"2MASS J19103777+4858557, KIC 11236244, KOI-2460, WISE J191037.74+485855.8",True,2022-05-01,
19,Kepler-81,,,-0.2,M0 V,4500.0,,"2MASS J19343286+4249298, KIC 7287995, KOI-877, WISE J193432.86+424929.4",True,2022-05-01,
