anime_id,watching,completed,on_hold,dropped,plan_to_watch,total,load_date,avg_score,favorites,anime_key
87,607,30801,297,200,8708,40613,2022-03-11,7.66,341,1066
51,885,34021,783,1374,8965,46028,2022-03-11,6.29,175,1032
22,13342,85223,14078,13707,36020,162370,2022-03-11,7.88,2882,1012
715,176,2672,109,119,1838,4914,2022-03-11,6.38,4,8655
718,303,3331,203,266,2567,6670,2022-03-11,6.39,7,8656
719,767,26085,397,687,6615,34551,2022-03-11,7.08,363,8657
731,877,50547,423,334,13116,65297,2022-03-11,8.14,818,8665
743,1668,75747,795,476,28124,106810,2022-03-11,6.56,390,8671
759,4364,151881,1795,741,84694,243475,2022-03-11,8.28,2032,8684
767,202,4490,134,116,2860,7802,2022-03-11,6.08,5,8692
780,481,51552,216,251,3422,55922,2022-03-11,7.88,56,8700
789,1487,23369,1513,1835,15582,43786,2022-03-11,6.91,89,8707
796,54,960,28,66,723,1831,2022-03-11,6.81,3,8713
797,181,6893,144,122,1867,9207,2022-03-11,6.67,8,8714
798,518,4804,421,445,6735,12923,2022-03-11,7.39,36,8715
799,239,2289,271,425,2740,5964,2022-03-11,6.51,16,8716
800,1348,11005,1214,1320,16813,31700,2022-03-11,6.85,132,8717
801,7925,123186,5943,2353,68695,208102,2022-03-11,8.53,2901,8718
807,494,32546,432,232,9836,43540,2022-03-11,7.31,62,8719
808,215,3528,158,162,2020,6083,2022-03-11,6.5,9,8720
810,143,1249,165,264,1361,3182,2022-03-11,6.43,3,8721
811,736,15470,623,575,7058,24462,2022-03-11,6.88,56,8722
812,1079,12428,1106,1624,12215,28452,2022-03-11,6.8,178,8723
813,41672,924169,23228,27969,53518,1070556,2022-03-11,8.15,31998,8724
814,164,11631,94,136,2282,14307,2022-03-11,7.47,26,8725
817,467,4704,400,524,3397,9492,2022-03-11,6.42,11,8728
819,735,30873,335,467,7902,40312,2022-03-11,6.25,88,8730
820,29519,61669,17196,6969,157772,273125,2022-03-11,9.03,14235,8731
821,565,25077,272,287,6250,32451,2022-03-11,7.56,90,8732
833,581,6010,511,633,4504,12239,2022-03-11,6.37,15,8738
840,770,9332,609,686,6176,17573,2022-03-11,6.54,22,8745
850,2715,38987,2314,4017,14194,62227,2022-03-11,6.49,165,8753
858,254,1427,231,400,2058,4370,2022-03-11,5.85,3,8761
860,1562,24302,1812,2539,11117,41332,2022-03-11,6.73,139,8763
863,1484,17056,1317,2184,12086,34127,2022-03-11,6.58,54,8765
864,199,7987,142,167,3060,11555,2022-03-11,6.34,8,8766
868,249,13416,212,122,4092,18091,2022-03-11,7.33,13,8770
869,268,13861,214,124,4087,18554,2022-03-11,7.32,21,8771
870,351,14016,207,228,4074,18876,2022-03-11,6.85,76,8772
872,1591,6740,1513,1332,16148,27324,2022-03-11,7.08,74,8773
873,2389,43780,3048,3750,17401,70368,2022-03-11,6.88,230,8774
879,1777,12422,1829,2236,20731,38995,2022-03-11,7.44,408,8780
887,72,3211,41,65,1078,4467,2022-03-11,6.27,1,8788
895,590,93895,331,282,5433,100531,2022-03-11,6.61,25,8796
903,774,108688,364,294,5876,115996,2022-03-11,6.78,39,8804
907,2330,36885,2210,3330,15047,59802,2022-03-11,6.99,244,8808
915,484,9019,487,573,3309,13872,2022-03-11,7.22,231,8816
